Model,R²_train,R²_test,RMSE_test,MAE_test,Overfit_Gap
RandomForest,0.9910999509615508,0.9703037514649699,0.24491507458169115,0.17093537603630718,0.020796199496580847
XGBoost,0.9833650772554217,0.9691235913589772,0.2497342524050268,0.18703433053885168,0.014241485896444472
GradientBoosting,0.9845913888706986,0.9654509902558747,0.26416940878538675,0.19737200974448635,0.019140398614823972
